%META:TOPICINFO{author="RobertEngel" date="1312301008" format="1.1" version="1.322"}%
%META:TOPICPARENT{name="WebHome"}%
---+!! Updating the OSG WBS
%INCLUDE{ "WbsStatusUpdateProcess" }%

%EDITTABLE{ format="| label, 0 | label, 0 |  label, 0  | label, 0 | label, 0 |   text, 8 |   text, 8 |   text, 4, 0% |  label, 0  | textarea, 2x20 |"  changerows="off" headerislabel="on" editbutton="Edit Table" header"| *ID* | *WBS* | *Agency Milestone* | *Name* | *In Charge* | *Start Date* | *Finish Date* | *% Done* | *Edit Line* | *Comments* |" helptopic="WbsStatusUpdateProcess" }% 
%TABLE{ valign="top" dataalign="left, left, center, left, left, center, center, right, center, center" }%
| *ID* | *WBS* | *Agency Milestone* | *Name* | *In Charge* | *Start Date* | *Finish Date* | *% Done* | *Edit Line* | *Comments* |
| 17 | 1.0.1.2.6 | No | PRIMA | Roy, Altunay | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 18 | 1.0.1.3 | No | Continue integration of software development best practices into STG-managed software | Roy, Altunay | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 30% %EDITCELL{ "label, 0" }% | | |
| 19 | 1.0.1.3.1 | No | Work with Bestman team to build and distribute from source | Roy, Altunay | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 20 | 1.0.1.3.2 | No | Work with Bestman team to improve testing | Roy, Altunay | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 21 | 1.0.1.3.3 | No | Work with RSV team on improved testing | Roy, Altunay | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 22 | 1.0.1.3.4 | No | Work with GUMS team to build and distribute from source | Roy, Altunay | 10/1/10 | 9/30/11 | 80% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 23 | 1.0.1.3.5 | No | Work with GUMS team to improve testing | Roy, Altunay | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 25 | 1.0.1.4 | No | Work with ET to find and divert STG-owned effort to starving projects, as needed | Roy, Altunay | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 26 | 1.0.2 | No | Production Coordination | Fraser | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 71% %EDITCELL{ "label, 0" }% | | |
| 27 | 1.0.2.1 | No | Identify and articulate OSG issues that impact the effectiveness of sites & VOs and lead/coordinate OSG teams to resolve the issues. | Fraser | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 28 | 1.0.2.1.1 | No | Lead weekly Production calls, highlight important issues, and follow up on action items. | Fraser | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 29 | 1.0.2.1.2 | No | Work with the VO, Sites, and Operation Area coordinators to coordinate activities related to production. | Fraser | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 30 | 1.0.2.1.3 | No | Work with the Metrics Coordinator to monitor the performance of the OSG infrastructure and develop measures and metrics that assess the state of the facility. | Fraser | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 31 | 1.0.2.1.4 | No | Analyze the usage patterns and efficiency of resource utilization, and develop trend data for the OSG; use that data to propose improvement plans for the facility. | Fraser | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 32 | 1.0.2.2 | No | Serve as the OSG Tier-3 Liaison to the US-ATLAS and US-CMS communities and establish regular, ongoing, point-to-point contact with the US ATLAS and US CMS Tier-3 support staff to enable cross-VO communication and collaboration, where appropriate. | Fraser | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 33 | 1.0.2.2.1 | No | Work with Atlas and CMS to define an operational plan for supporting T3s that includes appropriate VO and OSG combined efforts. | Fraser, Levshina, Mambelli | 10/1/10 | 9/30/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 34 | 1.0.2.2.2 | No | Work with the Security Coordinator and Atlas/CMS T3 liasons to provide a practical “hands-on” security plan for T3s. | Fraser, Altunay | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 35 | 1.0.2.3 | No | Manage relationships and communication with stakeholders (especially CMS, Atlas, and LIGO) to understand status and issues and communicate them to the OSG-ET, with recommendations if possible. | Fraser | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 83% %EDITCELL{ "label, 0" }% | | |
| 36 | 1.0.2.3.1 | No | Establish effective communication channels with OSG T1/T2/T3 site admins. | Fraser | 10/1/10 | 9/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 37 | 1.0.2.3.2 | No | Represent the needs of these stakeholders at key internal OSG meetings and communications and escalate priorities as needed | Fraser, Mambelli | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 38 | 1.0.2.3.3 | No | Include reports on these communications as part of the Production quarterly report. | Fraser | 10/1/10 | 9/30/11 | 74% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 39 | 1.0.2.4 | No | Assist the Executive Team in providing guidance to and working with the Operations, Sites, & VOs to communicate and facilitate the resolution of issues in the prioritization and planning of work | Fraser | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 40 | 1.0.2.5 | No | Based on guidance and approval by the OSG Executive Team, lead and coordinate plans to improve the OSG facility. | Fraser | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 41 | 1.0.2.6 | No | Ensure and test interoperation of production services and interfaces across WLCG, EGI and OSG | Holtzman, Tiradani | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 42 | 1.0.4 | No | LIGO Applications | Blackburn | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 71% %EDITCELL{ "label, 0" }% | | |
| 43 | 1.0.4.1 | No | Sustain LIGO <a href="mailto:.E.@.H.">E@H</a> science production on OSG | Engel | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 65% %EDITCELL{ "label, 0" }% | | |
| 45 | 1.0.4.1.2 | No | Operate production submission "factory" and resolve issues | Engel | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 46 | 1.0.4.2 | No | Transition LIGO Binary Inspiral Workflow into production mode on OSG | Daudert, Engel | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 78% %EDITCELL{ "label, 0" }% | | |
| 47 | 1.0.4.2.1 | No | Develop and deploy data movement plan (movement, validation, cataloging) | Daudert, Engel, Levshina | 10/1/10 | 11/1/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 48 | 1.0.4.2.2 | No | Develop and deploy execution environment using Pegasus and Corral-WMS | Daudert, Engel, Rynge | 10/1/10 | 1/15/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 49 | 1.0.4.2.3 | No | Demonstrate scalable sustained production over multiple sites | Daudert, Engel, Rynge | 2/1/11 | 6/30/11 | 60% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 50 | 1.0.4.2.4 | No | Operate production submission "factory" and resolve issues | Daudert, Engel | 6/1/11 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 51 | 1.0.9 | No | Technology Group | Hover, Livny | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 42% %EDITCELL{ "label, 0" }% | | |
| 52 | 1.0.9.1 | No | Coordinate OSG Blueprint Meetings - about 3 times a year | Hover, Bockelman | 10/1/10 | 9/30/11 | 33% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 53 | 1.0.9.2 | No | Conduct technically planning in response to feedback and requests from major stakeholders; develop technology and architecture recommendations | Hover, Bockelman | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 54 | 1.0.9.3 | No | Publish quarterly reports to the OSG-EB & OSG-ET on issues, actions, and recommendations resulting from the work of the Technology group | Hover | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 55 | 1.0.9.4 | No | Evaluate new architectures and technologies for integration into OSG | Bockelman | 10/1/10 | 9/30/11 | 60% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 56 | 1.1 | No | Software & Middleware | Roy, Levshina | 8/2/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 55% %EDITCELL{ "label, 0" }% | | |
| 57 | 1.1.1 | No | Ongoing OSG support and documentation | Roy, Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 58 | 1.1.1.1 | No | Direct user support | Roy, Levshina | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 59 | 1.1.1.2 | No | Maintain OSG-owned packaging and configuration | Roy, Levshina | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 60 | 1.1.1.3 | No | Update software in the OSG software stack, as needed | Roy, Levshina | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 61 | 1.1.1.4 | No | Continue to improve internal testing of software stack. | Roy, Levshina | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 62 | 1.1.1.5 | No | Participate in the ITB and VTB processes | Roy, Levshina | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 63 | 1.1.1.6 | No | Participate in the documentation needs of OSG, as related to software | Roy, Levshina | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 64 | 1.1.1.7 | No | Maintain documentation aimed at Tier 3s | Roy, Levshina | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 65 | 1.1.2 | No | Ongoing partner support | Roy, Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 66% %EDITCELL{ "label, 0" }% | | |
| 66 | 1.1.2.1 | No | Support WLCG's use of the VDT | Roy | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 67 | 1.1.2.2 | No | Participate in WLCG via EMT meetings | Roy | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 68 | 1.1.2.3 | No | Provide quarterly VDT reports to WLCG | Roy | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 69 | 1.1.2.4 | No | Participate in WLCG Technical group, report to ET as appropriate | Roy, Levshina | 10/1/10 | 9/30/11 | 783% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 70 | 1.1.2.5 | No | Support software collaboration with TeraGrid | Roy | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 71 | 1.1.2.6 | No | Support other grid's usage of VDT (GridUNESP, NGS, others as appropriate) | Roy | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 72 | 1.1.2.7 | No | Participate in OSG/CDIGS meetings | Roy | 10/1/10 | 9/30/11 | 83% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 73 | 1.1.2.8 | No | Monitor WLCG install capacity activites related tot SE Glue Schema | Levshina | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 74 | 1.1.3 | No | Build software not currently being built in the software stack | Roy | 10/1/10 %EDITCELL{ "label, 0" }% | 12/30/10 %EDITCELL{ "label, 0" }% | 51% %EDITCELL{ "label, 0" }% | | |
| 75 | 1.1.3.1 | No | Bestman | Sim, Roy, Levshina | 10/1/10 | 11/30/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 76 | 1.1.3.2 | No | VOMS Admin | Roy | 10/1/10 | 12/30/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 77 | 1.1.3.3 | No | GUMS | Roy | 10/1/10 | 11/30/10 | 80% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 78 | 1.1.4 | No | Upgrade or improve software infrastructure | Roy | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 25% %EDITCELL{ "label, 0" }% | | |
| 79 | 1.1.4.1 | No | CREAM | Sfiligoi | 10/1/10 %EDITCELL{ "label, 0" }% | 10/30/10 %EDITCELL{ "label, 0" }% | 75% %EDITCELL{ "label, 0" }% | | |
| 80 | 1.1.4.1.1 | No | Investigate detailed effort to add CREAM to software stack | Roy | 10/1/10 | 10/30/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 81 | 1.1.4.1.2 | No | Report to ET on effort to add CREAM; expand WBS based on feedback | Roy, Sfiligoi | 10/1/10 | 10/30/10 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 82 | 1.1.4.2 | No | Globus 5 | Roy | 10/1/10 %EDITCELL{ "label, 0" }% | 3/15/11 %EDITCELL{ "label, 0" }% | 0% %EDITCELL{ "label, 0" }% | | |
| 83 | 1.1.4.2.1 | No | Add GridFTP 5 to software stack (for CREAM support) | Roy | 10/1/10 | 11/15/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 84 | 1.1.4.2.2 | No | [After CREAM] Add GRAM 5 to software stack | Roy | 12/1/10 | 3/15/11 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 85 | 1.1.4.3 | No | Update to new VOMS/VOMS Admin | Roy | 10/1/10 | 12/30/10 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 86 | 1.1.4.4 | No | Submit Host | Roy | 1/3/11 %EDITCELL{ "label, 0" }% | 1/31/11 %EDITCELL{ "label, 0" }% | 0% %EDITCELL{ "label, 0" }% | | |
| 87 | 1.1.4.4.1 | No | Define contents of submit host (with Fraser) | Roy | 1/3/11 | 1/31/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 88 | 1.1.4.4.2 | No | Report to ET on effort to add submit host; expand WBS based on feedback | Roy | 1/3/11 | 1/31/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 89 | 1.1.4.5 | No | Operations Center Software (with Quick) | Roy | 1/3/11 %EDITCELL{ "label, 0" }% | 1/31/11 %EDITCELL{ "label, 0" }% | 0% %EDITCELL{ "label, 0" }% | | |
| 90 | 1.1.4.5.1 | No | Define contents of Operations Center software with GOC | Roy | 1/3/11 | 1/31/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 91 | 1.1.4.5.2 | No | Elaborate WBS based on definition | Roy | 1/3/11 | 1/31/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 92 | 1.1.4.6 | No | Bestman | Sim, Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 17% %EDITCELL{ "label, 0" }% | | |
| 93 | 1.1.4.6.1 | No | Work with Bestman developers to minimize downtime for storage upgrade | Sim, Levshina | 10/1/10 | 9/30/11 | 10% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 94 | 1.1.4.6.2 | No | Evaluate and test Bestman 2 | Sim, Levshina | 10/1/10 | 11/1/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 95 | 1.1.4.7 | No | dCache | Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 15% %EDITCELL{ "label, 0" }% | | |
| 96 | 1.1.4.7.1 | No | Work with dCache developers to minimize downtime for storage upgrade | Levshina | 10/1/10 | 9/30/11 | 20% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 97 | 1.1.4.7.2 | No | Evaluate and test dCache support for access control lists | Levshina | 10/1/10 | 12/1/10 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 98 | 1.1.4.7.3 | No | Evaluate and test dCache SRM load balancing | Levshina | 12/1/10 | 2/1/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 99 | 1.1.4.8 | No | Xrootd | Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 4/29/11 %EDITCELL{ "label, 0" }% | 70% %EDITCELL{ "label, 0" }% | | |
| 100 | 1.1.4.8.1 | No | Evaluate and test Xrootd and XrootdFS security | Levshina | 10/1/10 | 4/29/11 | 70% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 101 | 1.1.4.9 | No | Pigeon Tools (for storage team to debug problems) | Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 6/1/11 %EDITCELL{ "label, 0" }% | 38% %EDITCELL{ "label, 0" }% | | |
| 102 | 1.1.4.9.1 | No | Incorporate into RSV | Levshina | 10/1/10 | 1/1/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 103 | 1.1.4.9.2 | No | Incorporate into upcoming pilot job test suite | Levshina | 1/3/11 | 6/1/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 104 | 1.1.4.10 | No | Community Chest Tools | Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 0% %EDITCELL{ "label, 0" }% | | |
| 105 | 1.1.4.10.1 | No | Collect from site admins, test and add tools for Hadoop | Dost | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 106 | 1.1.4.10.2 | No | Collect from site admins, test and add tools for Xrootd. | Levshina | 10/1/10 | 9/30/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 108 | 1.1.4.11.1 | No | Work with NEES to plan effort | Levshina | 1/3/11 | 2/1/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 109 | 1.1.4.11.2 | No | Expand WBS in consultation with ET | Levshina | 2/1/11 | 4/1/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 110 | 1.1.4.12 | No | SHA-1 transition | Roy | 1/17/11 %EDITCELL{ "label, 0" }% | 5/15/11 %EDITCELL{ "label, 0" }% | 0% %EDITCELL{ "label, 0" }% | | |
| 111 | 1.1.4.12.1 | No | With assistance from security team, evalute move away from SHA-1 | Roy | 1/17/11 | 3/1/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 112 | 1.1.4.12.2 | No | Implement | Roy | 3/1/11 | 5/15/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 113 | 1.1.4.13 | No | Hadoop | Levshina, Dost | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 70% %EDITCELL{ "label, 0" }% | | |
| 114 | 1.1.4.13.1 | No | Packaging and testing of bestman/hdfs rpms | Dost, Levshina | 10/1/10 | 9/30/11 | 70% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 115 | 1.1.5 | No | Public (Opportunistic) Storage | Levshina | 10/1/10 %EDITCELL{ "label, 0" }% | 3/1/11 %EDITCELL{ "label, 0" }% | 21% %EDITCELL{ "label, 0" }% | | |
| 116 | 1.1.5.1 | No | Define requirements | Levshina | 10/1/10 | 11/1/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 117 | 1.1.5.2 | No | Evaluate iRODS to see if matches requirements | Levshina | 10/1/10 | 11/1/10 | 30% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 118 | 1.1.5.3 | No | If needed, evaluate other tools | Levshina | 11/1/10 | 2/1/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 119 | 1.1.5.4 | No | Report to ET, expand WBS based on feedback | Levshina | 2/1/11 | 3/1/11 | 0% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 120 | 1.1.6 | No | Native Packaging | Roy | 8/2/10 %EDITCELL{ "label, 0" }% | 12/30/10 %EDITCELL{ "label, 0" }% | 82% %EDITCELL{ "label, 0" }% | | |
| 121 | 1.1.6.1 | No | Complete glexec packaging | Roy | 8/2/10 | 10/30/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 122 | 1.1.6.2 | No | Complete worker node packaging | Roy | 10/1/10 | 12/30/10 | 90% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 123 | 1.1.6.3 | No | Evaluate next steps in native packging, expand WBS appropriately, xrootd/xrootdfs and related rpm packages | Roy, Levshina | 12/1/10 | 12/30/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 124 | 1.1.7 | No | OSG Summer School | Roy | 10/1/10 %EDITCELL{ "label, 0" }% | 7/21/11 %EDITCELL{ "label, 0" }% | 100% %EDITCELL{ "label, 0" }% | | |
| 125 | 1.1.7.1 | No | Prepare proposal for summer school. (With TeraGrid?) | Roy, Cartwright | 10/1/10 | 12/30/10 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 126 | 1.1.7.2 | No | Organize summer school | Roy, Cartwright | 4/1/11 | 6/30/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 127 | 1.1.7.3 | No | Run summer school | Roy, Cartwright | 7/12/11 | 7/21/11 | 100% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 128 | 1.2 | No | Operations | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 65% %EDITCELL{ "label, 0" }% | | |
| 129 | 1.2.1 | No | Support LHC | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 70% %EDITCELL{ "label, 0" }% | | |
| 130 | 1.2.1.1 | No | Provide operational issue management for WLCG in collaboration with US-CMS and US-ATLAS | Quick | 10/1/10 | 9/30/11 | 59% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 131 | 1.2.1.2 | No | Publish availability and reliability metrics to WLCG | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 132 | 1.2.1.3 | No | Maintain the relationship with WLCG operations entities (monitoring, GGUS ticketing, VOs, infrastructure services) | Quick | 10/1/10 | 9/30/11 | 75% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 133 | 1.2.2 | No | Routine Process Execution | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 70% %EDITCELL{ "label, 0" }% | | |
| 134 | 1.2.2.1 | No | Operate OSG Services at levels that meet the SLAs | Quick, Chadwick, Sfiligoi | 10/1/10 %EDITCELL{ "label, 0" }% | 12/31/10 %EDITCELL{ "label, 0" }% | 50% %EDITCELL{ "label, 0" }% | | |
| 135 | 1.2.2.1.1 | No | Propose Configuration Management for Operational Services | Quick | 10/1/10 | 12/31/10 | 50% | %EDITCELL{ "editbutton, 1, Edit" }% | |
| 136 | 1.2.2.2 | No | Communication of Operational Issues to OSG Community | Quick | 10/1/10 %EDITCELL{ "label, 0" }% | 9/30/11 %EDITCELL{ "label, 0" }% | 63% %EDITCELL{ "label, 0" }% | | |
