# ----------------------------------------
# twiki profile
# Pages
# 20140401-20140430
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/bin/view/Production/WeeklyProductionMeetings,93,65,00:00:31,32,6.25%,5.38%,$0.00
/bin/view/Documentation/Release3/InstallOSGBestmanSE,88,77,00:03:41,45,55.56%,50.00%,$0.00
/bin/view/Documentation/Release3/HadoopDebug,87,79,00:08:11,79,88.61%,89.66%,$0.00
/bin/view/Documentation/Release3/InstallHadoopSE,84,76,00:01:55,32,81.25%,67.86%,$0.00
/bin/view/Documentation/WebHome,81,68,00:00:23,13,38.46%,22.22%,$0.00
/bin/view/ReleaseDocumentation/LcgUtilities,81,70,00:04:26,68,79.41%,75.31%,$0.00
/bin/view/Documentation/Release3/InstallOSGClient,76,66,00:01:37,33,63.64%,36.84%,$0.00
/bin/view/Storage/HadoopUnderstanding,75,71,00:06:48,68,92.65%,88.00%,$0.00
/bin/view/Management/AreaCoordinator,74,52,00:01:15,37,29.73%,28.38%,$0.00
/bin/view/Operations/ProductionMeetingMinutes,73,48,00:00:31,22,9.09%,8.22%,$0.00
/bin/view/Documentation/Release3/GetHostServiceCertificates,72,66,00:05:00,45,80.00%,69.44%,$0.00
/bin/view/Documentation/Release3.NavAdminStorage,71,55,00:00:57,36,63.89%,35.21%,$0.00
/bin/view/Documentation/Release3/InstallGlideinWMSFrontend,70,57,00:01:45,42,76.19%,62.86%,$0.00
/bin/view/Documentation/UsingTheGrid,70,60,00:01:12,17,76.47%,45.71%,$0.00
/bin/view/Documentation/Release3/InstallOSGGridFTP,68,61,00:04:47,38,73.68%,69.12%,$0.00
/bin/view/Documentation/DocHowToTemplate,66,63,00:06:18,61,95.08%,93.94%,$0.00
/bin/view/Documentation/Release3/OasisExternalRepositories,65,46,00:05:19,37,75.68%,63.08%,$0.00
/bin/view/Council/WebHome,61,38,00:00:47,20,20.00%,21.31%,$0.00
/bin/view/Documentation/CondorSubmittingMultipleJobs,61,58,00:04:17,56,83.93%,81.97%,$0.00
/bin/view/Documentation/Release3/InstallGratiaApelInterface,61,2,00:01:49,2,0.00%,0.00%,$0.00
"/bin/view/Production/April15,2014ProductionMeeting",61,27,00:03:58,7,42.86%,31.15%,$0.00
/bin/view/CampusGrids/BoscoQuickStart,60,49,00:05:03,38,65.79%,56.67%,$0.00
"/bin/view/Production/April22,2014ProductionMeeting",59,20,00:03:49,4,50.00%,27.12%,$0.00
/bin/view/Operations/PackageV52,58,47,00:02:52,10,40.00%,39.66%,$0.00
/bin/view/ReleaseDocumentation/ClusterConfigureSSH,58,55,00:07:10,55,94.55%,94.83%,$0.00
/bin/view/Documentation/Release3/InstallBestPractices,57,53,00:01:07,28,89.29%,57.89%,$0.00
/bin/view/Education/OSGUserSchool2013,54,34,00:00:37,13,0.00%,3.70%,$0.00
"/bin/view/Production/April1,2014ProductionMeeting",54,32,00:02:05,5,40.00%,42.59%,$0.00
/bin/view/ReleaseDocumentation/PacmanInstall,54,47,00:03:23,44,81.82%,77.78%,$0.00
/bin/view/Documentation/Release3.NavAdminCompute,53,34,00:00:32,6,33.33%,7.55%,$0.00
/bin/view/Documentation/Release3/NavAdminCompute,51,30,00:00:21,1,0.00%,9.80%,$0.00
/bin/view/Documentation/Release3/InstallGums,50,40,00:07:04,18,66.67%,60.00%,$0.00
/bin/view/Documentation/WhatIsOSG,49,43,00:02:13,3,66.67%,51.02%,$0.00
/bin/view/Main/AllHandsChallenge2014,49,28,00:02:41,15,46.67%,40.82%,$0.00
/bin/view/Operations/OSGPKICommandlineClients,49,37,00:07:47,24,62.50%,57.14%,$0.00
/bin/view/Documentation/Release3/SitePlanning,47,42,00:01:51,8,37.50%,40.43%,$0.00
/bin/view/Operations/SupportWorkArea/WebHome,47,24,00:01:12,12,41.67%,25.53%,$0.00
/bin/view/Documentation/Release3/DownloadOSGSoftware,46,39,00:00:30,3,33.33%,17.39%,$0.00
/bin/view/Documentation/StorageGridFTP,46,39,00:06:54,39,76.92%,73.91%,$0.00
/bin/view/Documentation/GlossaryOfTerms,45,39,00:02:28,26,84.62%,66.67%,$0.00
/bin/view/Education/UserSchool14AppThanks,45,36,00:02:17,23,73.91%,66.67%,$0.00
/bin/view/Documentation/Release3/InstallWNClient,44,34,00:02:25,14,57.14%,40.91%,$0.00
/bin/view/Storage/HadoopDebug,44,40,00:04:52,37,86.49%,86.36%,$0.00
/bin/view/ReleaseDocumentation/GlobusOnlineTutorial,43,38,00:10:00,37,86.49%,86.05%,$0.00
/bin/view/SoftwareTeam/WebHome,43,33,00:02:34,9,22.22%,13.95%,$0.00
/bin/view/CampusGrids/BoSCO,42,32,00:02:00,20,55.00%,33.33%,$0.00
/bin/view/CampusGrids/BoscoInstall,42,33,00:04:09,12,75.00%,52.38%,$0.00
/bin/view/Operations/Minutes2014April14,42,16,00:02:47,1,0.00%,21.43%,$0.00
/bin/view/Documentation/DocTroubleshootingTemplate,41,37,00:04:33,37,94.59%,90.24%,$0.00
/bin/view/Documentation/Release3/InstallGlideinWMSFactory,41,34,00:09:36,23,78.26%,68.29%,$0.00
/bin/view/Documentation/Release3/TroubleshootingGuide,41,33,00:02:57,26,46.15%,48.78%,$0.00
/bin/view/Documentation/SshHostsAllow,41,40,00:00:17,39,97.44%,97.56%,$0.00
/bin/view/Operations/Minutes2014April28,41,22,00:03:43,2,50.00%,41.46%,$0.00
/bin/view/Documentation/Release3/FirewallInformation,40,37,00:03:41,25,92.00%,75.00%,$0.00
/bin/view/Documentation/Release3/ReleaseNotes,40,26,00:03:04,14,21.43%,17.50%,$0.00
/bin/view/Documentation/Release3/NavUserMain,39,25,00:00:23,16,25.00%,28.21%,$0.00
/bin/view/Documentation/SrmBasics,39,35,00:08:33,31,83.87%,79.49%,$0.00
/bin/view/SoftwareTeam/HowToInstallXrootd,39,34,00:06:14,32,78.12%,76.92%,$0.00
/bin/view/Management/OSGOrganizationInformation,38,24,00:00:22,2,100.00%,7.89%,$0.00
/bin/view/Documentation/Release3/InstallVoms,37,32,00:04:16,23,78.26%,75.68%,$0.00
/bin/view/ReleaseDocumentation/VomsInstallGuide,37,35,00:04:04,35,85.71%,83.78%,$0.00
/bin/view/Operations/Minutes2014April21,36,15,00:05:00,3,0.00%,25.00%,$0.00
/bin/view/Documentation/Release3/InstallBestmanXrootdSE,35,25,00:03:39,11,36.36%,22.86%,$0.00
/bin/view/Documentation/Release3/TroubleshootingComputeElement,35,33,00:03:25,24,83.33%,68.57%,$0.00
"/bin/view/Production/April29,2014ProductionMeeting",35,17,00:05:04,3,100.00%,34.29%,$0.00
/bin/view/CampusGrids/BoscoR,34,30,00:06:07,29,75.86%,73.53%,$0.00
/bin/view/Documentation/Release3/InstallFrontierSquid,33,29,00:05:40,24,83.33%,72.73%,$0.00
/bin/view/Management/AdvancedNetworkandDistributedStorageLaboratory,33,29,00:00:14,29,86.21%,87.88%,$0.00
/bin/view/Documentation/Release3/UpdateOasis,32,25,00:05:16,17,58.82%,59.38%,$0.00
/bin/view/Management/WebHome,32,28,00:01:39,6,50.00%,37.50%,$0.00
/twiki/bin/view/Integration/SRMClientTools,32,30,00:12:12,28,82.14%,84.38%,$0.00
,"15,610","13,154",00:02:24,"9,142",77.13%,58.57%,$0.00

Day Index,Pageviews
4/1/14,669
4/2/14,671
4/3/14,603
4/4/14,678
4/5/14,226
4/6/14,260
4/7/14,574
4/8/14,902
4/9/14,794
4/10/14,610
4/11/14,581
4/12/14,214
4/13/14,272
4/14/14,730
4/15/14,784
4/16/14,598
4/17/14,502
4/18/14,362
4/19/14,156
4/20/14,163
4/21/14,597
4/22/14,664
4/23/14,554
4/24/14,532
4/25/14,483
4/26/14,112
4/27/14,291
4/28/14,760
4/29/14,728
4/30/14,540
,"15,610"

